#---it--------t-------dt-------urms------umax------orms------omax------oum-------abm-------jbm-------brms------bmax------jrms------jmax-----divu2m-----epsK------epsM-----rumax----rhom-----bmx-------bmy-------bmz----
      50      0.61 1.97E-03 7.240E-02 4.875E-01 1.858E+01 1.287E+02  4.22E-02  4.07E-04  1.32E+00 2.042E-01 8.834E-01 4.018E+01 3.520E+02 7.838E+00 1.766E-03 8.073E-03 5.03E-01  0.9925 2.080E-03 2.078E-03 1.937E-03
      60      0.63 1.93E-03 7.094E-02 5.373E-01 1.812E+01 1.264E+02  4.08E-02  4.07E-04  1.30E+00 2.025E-01 8.962E-01 3.941E+01 3.677E+02 7.466E+00 1.680E-03 7.767E-03 5.55E-01  0.9924 2.076E-03 2.073E-03 1.931E-03
      70      0.65 1.96E-03 6.958E-02 5.622E-01 1.769E+01 1.431E+02  3.95E-02  4.07E-04  1.28E+00 2.009E-01 9.229E-01 3.869E+01 3.938E+02 7.127E+00 1.601E-03 7.485E-03 5.61E-01  0.9924 2.072E-03 2.068E-03 1.926E-03
      80      0.67 2.00E-03 6.830E-02 4.651E-01 1.728E+01 1.422E+02  3.83E-02  4.06E-04  1.26E+00 1.993E-01 9.008E-01 3.800E+01 3.786E+02 6.815E+00 1.528E-03 7.221E-03 4.79E-01  0.9923 2.069E-03 2.063E-03 1.922E-03
      90      0.69 2.01E-03 6.705E-02 4.933E-01 1.688E+01 1.394E+02  3.72E-02  4.06E-04  1.24E+00 1.977E-01 8.732E-01 3.732E+01 3.622E+02 6.502E+00 1.458E-03 6.965E-03 4.94E-01  0.9923 2.065E-03 2.058E-03 1.917E-03
     100      0.71 1.96E-03 6.588E-02 4.849E-01 1.650E+01 1.335E+02  3.62E-02  4.06E-04  1.22E+00 1.962E-01 8.700E-01 3.668E+01 3.693E+02 6.217E+00 1.393E-03 6.727E-03 4.91E-01  0.9923 2.061E-03 2.053E-03 1.912E-03
     110      0.73 2.04E-03 6.476E-02 5.135E-01 1.614E+01 1.159E+02  3.51E-02  4.06E-04  1.20E+00 1.947E-01 8.843E-01 3.606E+01 3.814E+02 5.950E+00 1.333E-03 6.502E-03 5.20E-01  0.9922 2.057E-03 2.047E-03 1.908E-03
     120      0.75 2.01E-03 6.369E-02 5.168E-01 1.580E+01 1.203E+02  3.42E-02  4.05E-04  1.19E+00 1.933E-01 8.731E-01 3.547E+01 3.547E+02 5.694E+00 1.277E-03 6.289E-03 5.13E-01  0.9922 2.054E-03 2.042E-03 1.904E-03
     130      0.77 2.03E-03 6.270E-02 4.606E-01 1.548E+01 1.251E+02  3.33E-02  4.05E-04  1.17E+00 1.919E-01 9.094E-01 3.491E+01 3.314E+02 5.467E+00 1.225E-03 6.092E-03 4.71E-01  0.9922 2.050E-03 2.038E-03 1.900E-03
     140      0.79 2.01E-03 6.175E-02 4.526E-01 1.517E+01 1.084E+02  3.25E-02  4.05E-04  1.15E+00 1.905E-01 9.117E-01 3.436E+01 3.557E+02 5.249E+00 1.177E-03 5.904E-03 4.74E-01  0.9921 2.047E-03 2.033E-03 1.897E-03
