     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
1.65031e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.45413e-03  3.45294e-06  3.71425e-02  4.84716e-02
1.70036e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.41473e-03  3.45066e-06  3.75202e-02  4.88017e-02
1.75049e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.37660e-03  3.44823e-06  3.78818e-02  4.91369e-02
1.80046e+01  0.00000e+00  2.00000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.34065e-03  3.44566e-06  3.82524e-02  4.94935e-02
1.85043e+01  0.00000e+00  1.60000e+01  0.00000e+00  3.00000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.30619e-03  3.44363e-06  3.86162e-02  4.98757e-02
1.90026e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.27318e-03  3.44166e-06  3.89670e-02  5.02934e-02
1.95027e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.24154e-03  3.44079e-06  3.93213e-02  5.06987e-02
2.00041e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.21153e-03  3.43992e-06  3.96811e-02  5.11183e-02
2.05043e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.18251e-03  3.43798e-06  4.00262e-02  5.15464e-02
2.10042e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.15503e-03  3.43411e-06  4.03681e-02  5.19948e-02
2.15048e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.12820e-03  3.43428e-06  4.07191e-02  5.24449e-02
2.20035e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.10225e-03  3.43195e-06  4.10573e-02  5.29075e-02
2.25028e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.07776e-03  3.42810e-06  4.13966e-02  5.33821e-02
2.30038e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.05404e-03  3.42820e-06  4.17279e-02  5.38785e-02
2.35036e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.03153e-03  3.42805e-06  4.20672e-02  5.43868e-02
2.40028e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00947e-03  3.42353e-06  4.23885e-02  5.48990e-02
2.45036e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.88466e-04  3.42211e-06  4.27299e-02  5.53907e-02
2.50042e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.68158e-04  3.42125e-06  4.30484e-02  5.58929e-02
2.55040e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.48154e-04  3.41901e-06  4.33787e-02  5.63740e-02
2.60050e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.29360e-04  3.41927e-06  4.37052e-02  5.68571e-02
2.65039e+01  0.00000e+00  1.60000e+01  0.00000e+00  8.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.11332e-04  3.41613e-06  4.40147e-02  5.73395e-02
